Date,Time,CPUTemp,Temp,Pres,Lum,Lum1,Lum2
2019/2/27,0:00,,15.3,1022.61,0,,
2019/2/27,0:10,,15.3,1022.42,0,,
2019/2/27,0:20,,15.2,1022.5,0,,
2019/2/27,0:30,,15.1,1022.22,0,,
2019/2/27,0:40,,15,1021.63,0,,
2019/2/27,0:50,,15,1021.83,0,,
2019/2/27,1:00,,14.9,1022.11,0,,
2019/2/27,1:10,,14.9,1022.12,0,,
2019/2/27,1:20,,14.9,1022.18,0,,
2019/2/27,1:30,,14.8,1021.69,0,,
2019/2/27,1:40,,14.8,1021.6,0,,
2019/2/27,1:50,,14.7,1021.73,0,,
2019/2/27,2:00,,14.6,1021.77,0,,
2019/2/27,2:10,,14.6,1021.77,0,,
2019/2/27,2:20,,14.6,1021.55,0,,
2019/2/27,2:30,,14.6,1021.39,0,,
2019/2/27,2:40,,14.6,1021.28,0,,
2019/2/27,2:50,,14.6,1021.32,0,,
2019/2/27,3:00,,14.5,1021.21,0,,
2019/2/27,3:10,,14.5,1021.04,0,,
2019/2/27,3:20,,14.5,1020.99,0,,
2019/2/27,3:30,,14.5,1020.9,0,,
2019/2/27,3:40,,14.4,1020.83,0,,
2019/2/27,3:50,,14.4,1020.58,0,,
2019/2/27,4:00,,14.3,1020.67,0,,
2019/2/27,4:10,,14.3,1020.5,0,,
2019/2/27,4:20,,14.3,1020.56,0,,
2019/2/27,4:30,,14.2,1020.49,0,,
2019/2/27,4:40,,14.2,1020.64,0,,
2019/2/27,4:50,,14.1,1020.48,0,,
2019/2/27,5:00,,13.9,1020.44,0,,
2019/2/27,5:10,,14,1020.57,0,,
2019/2/27,5:20,,14,1020.62,0,,
2019/2/27,5:30,,14.1,1020.67,0,,
2019/2/27,5:40,,14.1,1020.52,0,,
2019/2/27,5:50,,13.9,1020.62,0,,
2019/2/27,6:00,,13.9,1020.8,0,,
2019/2/27,6:10,,13.9,1020.76,0,,
2019/2/27,6:20,,13.9,1020.53,0.42,,
2019/2/27,6:30,,13.8,1020.83,5,,
2019/2/27,6:40,,13.8,1020.87,12.5,,
2019/2/27,6:50,,13.7,1021,18.75,,
2019/2/27,7:00,,13.7,1021.48,28.75,,
2019/2/27,7:10,,13.8,1021.68,40.83,,
2019/2/27,7:20,,13.8,1021.52,63.33,,
2019/2/27,7:30,,13.7,1021.5,84.58,,
2019/2/27,7:40,,13.8,1021.8,123.75,,
2019/2/27,7:50,,13.7,1021.45,106.67,,
2019/2/27,8:00,,13.8,1021.43,112.92,,
2019/2/27,8:10,,13.8,1021.54,143.75,,
2019/2/27,8:20,,13.9,1021.59,177.5,,
2019/2/27,8:30,,14,1021.54,226.67,,
2019/2/27,8:40,,14.1,1021.54,339.58,,
2019/2/27,8:50,,14.1,1021.59,267.92,,
2019/2/27,9:00,,14.1,1021.37,366.67,,
2019/2/27,9:10,,14.2,1020.66,351.25,,
2019/2/27,9:20,,14.2,1020.89,406.67,,
2019/2/27,9:30,,14.2,1021.02,320,,
2019/2/27,9:40,,14.2,1020.97,325,,
2019/2/27,9:50,,14.3,1021.25,342.08,,
2019/2/27,10:00,,15.7,1020.96,67.5,,
2019/2/27,10:10,,18.3,1021.22,44.17,,
2019/2/27,10:20,,18.2,1021.03,50,,
2019/2/27,10:30,,17.2,1020.77,53.75,,
2019/2/27,10:40,,17.1,1020.53,58.75,,
2019/2/27,10:50,,16.9,1020.73,49.17,,
2019/2/27,11:00,,16.9,1020.3,62.92,,
2019/2/27,11:10,,16.5,1020.06,81.67,,
2019/2/27,11:20,,16.2,1019.82,77.92,,
2019/2/27,11:30,,16.2,1019.73,83.33,,
2019/2/27,11:40,,16.3,1019.92,62.5,,
2019/2/27,11:50,,15.9,1019.92,44.58,,
2019/2/27,12:00,,16.4,1020.06,44.58,,
2019/2/27,12:10,,18.7,1019.5,45.83,,
2019/2/27,12:20,,19.6,1019.64,69.17,,
2019/2/27,12:30,,20.3,1019.59,56.25,,
2019/2/27,12:40,,21,1019.41,46.67,,
2019/2/27,12:50,,21.6,1018.55,90.42,,
2019/2/27,13:00,,22.2,1018.74,65.83,,
2019/2/27,13:10,,22.2,1018.95,44.58,,
2019/2/27,13:20,,19.9,1019.23,41.67,,
2019/2/27,13:30,,19.3,1019.34,35.42,,
2019/2/27,13:40,,18.6,1019.41,306.25,,
2019/2/27,13:50,,18.5,1019.44,295.83,,
2019/2/27,14:00,,18.5,1019.46,314.58,,
2019/2/27,14:10,,18.3,1019.1,177.92,,
2019/2/27,14:20,,18.1,1018.61,164.58,,
2019/2/27,14:30,,18,1018.44,295.42,,
2019/2/27,14:40,,17.9,1018.37,710.42,,
2019/2/27,14:50,,17.8,1018.85,743.75,,
2019/2/27,15:00,,17.6,1018.49,569.17,,
2019/2/27,15:10,,17.5,1018.45,508.33,,
2019/2/27,15:20,,17.6,1018.54,542.08,,
2019/2/27,15:30,,17.2,1018.53,380.42,,
2019/2/27,15:40,,19.3,1018.45,533.33,,
2019/2/27,15:50,,20.4,1018.71,257.5,,
2019/2/27,16:00,,21,1018.54,205.42,,
