Date,Time,CPUTemp,Temp,Pres,Lum,,
2019/3/7,11:38,,-1,-1,241.25,,
2019/3/7,11:38,,-1,-1,248.75,,
2019/3/7,11:41,,-1,-1,202.92,,
2019/3/7,11:41,,-1,-1,203.75,,
2019/3/7,11:41,,-1,-1,204.17,,
2019/3/7,11:41,,-1,-1,204.17,,
2019/3/7,11:41,,-1,-1,234.58,,
2019/3/7,11:41,,-1,-1,235.42,,
2019/3/7,11:41,,-1,-1,237.5,,
2019/3/7,11:42,,-1,-1,241.25,,
2019/3/7,11:42,,-1,-1,242.92,,
2019/3/7,11:42,,-1,-1,240.83,,
2019/3/7,11:42,,-1,-1,241.25,,
2019/3/7,11:42,,-1,-1,242.5,,
2019/3/7,11:50,,-1,-1,234.58,,
2019/3/7,12:00,,-1,-1,209.17,,
2019/3/7,12:10,,-1,-1,207.08,,
2019/3/7,12:20,,-1,-1,210,,
2019/3/7,12:30,,-1,-1,201.67,,
2019/3/7,12:40,,-1,-1,199.17,,
2019/3/7,12:50,,-1,-1,203.33,,
2019/3/7,13:00,,-1,-1,327.08,,
2019/3/7,13:10,,-1,-1,335.83,,
2019/3/7,13:20,,-1,-1,332.92,,
2019/3/7,13:30,,-1,-1,172.92,,
2019/3/7,13:40,,-1,-1,173.75,,
2019/3/7,13:50,,-1,-1,570.42,,
2019/3/7,14:00,,-1,-1,628.33,,
2019/3/7,13:10,,-1,-1,488.33,,
2019/3/7,13:20,,-1,-1,617.08,,
2019/3/7,13:37,,-1,-1,645,,
2019/3/7,13:47,,-1,-1,216.25,,
2019/3/7,13:57,,-1,-1,618.33,,
2019/3/7,14:07,,-1,-1,152.08,,
2019/3/7,14:17,,-1,-1,210.42,,
2019/3/7,15:28,,-1,-1,214.58,,
2019/3/7,15:38,,-1,-1,199.58,,
2019/3/7,15:48,,-1,-1,188.75,,
2019/3/7,15:58,,18.6,1027.36,169.58,,
2019/3/7,16:08,,18.5,1027.48,165.83,,
2019/3/7,16:18,,18.5,1027.09,182.92,,
2019/3/7,16:28,,18.6,1027.09,198.75,,
2019/3/7,16:38,,18.5,1027.3,200.83,,
2019/3/7,16:48,,18.4,1027.44,192.5,,
2019/3/7,16:58,,18.3,1026.82,266.67,,
2019/3/7,17:08,,20.9,1027.1,245.42,,
2019/3/7,17:18,,21.7,1027.18,194.58,,
2019/3/7,17:28,,22.7,1027.31,150.42,,
2019/3/7,17:38,,23,1027.69,114.17,,
2019/3/7,17:48,,23.1,1027.83,85,,
2019/3/7,17:58,,23.1,1027.42,99.17,,
2019/3/7,18:08,,22.6,1027.59,91.25,,
2019/3/7,18:28,,-1,-1,47.08,,
2019/3/7,18:37,,20.2,1027.59,46.67,,
2019/3/7,18:40,,20.5,1027.65,47.08,,
2019/3/7,18:50,,20.5,1027.63,47.08,,
2019/3/7,19:00,,20.6,1027.65,47.08,,
2019/3/7,19:10,,20,1027.56,47.08,,
2019/3/7,19:20,,19.9,1027.62,47.08,,
2019/3/7,19:30,,20.2,1027.66,47.08,,
2019/3/7,19:40,,20.6,1027.7,47.08,,
2019/3/7,19:50,,20.7,1027.95,47.08,,
2019/3/7,20:00,,20.9,1027.92,46.67,,
2019/3/7,20:10,,20.8,1028.03,46.67,,
2019/3/7,20:20,,20.9,1027.94,46.67,,
2019/3/7,20:30,,20.5,1028.07,46.67,,
2019/3/7,20:40,,20.8,1028.05,46.67,,
2019/3/7,20:50,,20.7,1028.11,47.08,,
2019/3/7,21:00,,20.7,1028.28,47.08,,
2019/3/7,21:10,,20.7,1028.63,46.67,,
2019/3/7,21:20,,20.8,1028.46,46.67,,
2019/3/7,21:30,,20.9,1028.61,47.08,,
2019/3/7,21:40,,21.1,1028.65,47.08,,
2019/3/7,21:50,,21.1,1028.71,46.67,,
2019/3/7,22:00,,21.1,1028.78,46.67,,
2019/3/7,22:10,,21.1,1028.96,46.25,,
2019/3/7,22:20,,21.2,1028.76,46.25,,
2019/3/7,22:30,,21.1,1028.68,0,,
2019/3/7,22:40,,20.4,1028.68,0,,
2019/3/7,22:50,,19.9,1028.6,0,,
2019/3/7,23:00,,19.4,1028.31,0,,
2019/3/7,23:10,,19,1028.4,0,,
2019/3/7,23:20,,18.8,1028.35,0,,
2019/3/7,23:30,,18.6,1028.28,0,,
2019/3/7,23:40,,18.4,1028.31,0,,
2019/3/7,23:50,,18.3,1028.44,0,,
2019/3/8,0:00,,18.1,1028.26,0,,
2019/3/8,0:10,,17.9,1028.21,0,,
2019/3/8,0:20,,17.7,1028.21,0,,
2019/3/8,0:30,,17.6,1028.11,0,,
2019/3/8,0:40,,17.5,1028.1,0,,
2019/3/8,0:50,,17.4,1027.89,0,,
2019/3/8,1:00,,17.2,1027.88,0,,
2019/3/8,1:10,,17.1,1027.69,0,,
2019/3/8,1:20,,17,1027.63,0,,
2019/3/8,1:30,,16.9,1027.64,0,,
2019/3/8,1:40,,16.9,1027.53,0,,
2019/3/8,1:50,,16.8,1027.47,0,,
2019/3/8,2:00,,16.7,1027.63,0,,
2019/3/8,2:10,,16.6,1027.39,0,,
2019/3/8,2:20,,16.6,1027.29,0,,
2019/3/8,2:30,,16.6,1027.27,0,,
2019/3/8,2:40,,16.4,1027.18,0,,
2019/3/8,2:50,,16.4,1027.15,0,,
2019/3/8,3:00,,16.3,1027,0,,
2019/3/8,3:10,,16.3,1026.97,0,,
2019/3/8,3:20,,16.3,1026.91,0,,
2019/3/8,3:30,,16.2,1026.77,0,,
2019/3/8,3:40,,16.1,1027.02,0,,
2019/3/8,3:50,,16.1,1027.03,0,,
2019/3/8,4:00,,16,1026.92,0,,
2019/3/8,4:10,,16,1026.89,0,,
2019/3/8,4:20,,15.9,1026.77,0,,
2019/3/8,4:30,,15.9,1027.04,0,,
2019/3/8,4:40,,15.8,1027.03,0,,
2019/3/8,4:50,,15.8,1026.98,0,,
2019/3/8,5:00,,15.8,1026.97,0,,
2019/3/8,5:10,,15.7,1026.96,0,,
2019/3/8,5:20,,15.8,1026.91,0,,
2019/3/8,5:30,,15.7,1027.11,0,,
2019/3/8,5:40,,15.6,1027.02,0,,
2019/3/8,5:50,,15.6,1027.01,0,,
2019/3/8,6:00,,15.5,1027.09,3.33,,
2019/3/8,6:10,,15.6,1027.07,32.08,,
2019/3/8,6:20,,15.5,1027.11,114.58,,
2019/3/8,6:30,,15.5,1027.04,248.33,,
2019/3/8,6:40,,15.5,1026.99,401.67,,
2019/3/8,6:50,,15.4,1028.58,577.5,,
2019/3/8,7:00,,14.8,1027.47,752.5,,
2019/3/8,7:10,,15.4,1027.44,764.58,,
2019/3/8,7:20,,15.4,1027.53,911.25,,
2019/3/8,7:30,,15.4,1027.46,922.92,,
2019/3/8,7:40,,15.5,1027.58,961.67,,
2019/3/8,7:50,,15.3,1027.8,1019.17,,
2019/3/8,8:00,,15.5,1027.92,1071.25,,
2019/3/8,8:10,,15.5,1027.85,1107.08,,
2019/3/8,8:20,,15.5,1027.8,1128.33,,
2019/3/8,8:30,,15.6,1027.61,1235,,
2019/3/8,8:40,,15.6,1027.76,1555,,
2019/3/8,8:50,,17.1,1027.78,1358.33,,
2019/3/8,9:00,,17.7,1027.57,1438.33,,
2019/3/8,9:10,,18.5,1027.87,1440,,
2019/3/8,9:20,,18.8,1027.93,1469.58,,
2019/3/8,9:30,,19.3,1027.98,1745,,
2019/3/8,9:40,,18.7,1027.65,1702.92,,
2019/3/8,9:50,,17.9,1027.82,1761.67,,
2019/3/8,10:00,,19.1,1028.03,2113.33,,
2019/3/8,10:10,,19,1027.96,2089.17,,
2019/3/8,10:20,,18.4,1027.8,1883.33,,
2019/3/8,10:30,,19,1027.66,2267.5,,
2019/3/8,10:40,,18.8,1027.59,2625,,
2019/3/8,10:50,,18.3,1027.39,2812.08,,
2019/3/8,11:00,,19.5,1027.39,3112.92,,
2019/3/8,11:10,,18.9,1027.43,3544.17,,
2019/3/8,11:20,,18.6,1027.11,3615,,
2019/3/8,11:30,,19.8,1027.1,3319.17,,
2019/3/8,11:40,,19.3,1027.04,3105.42,,
2019/3/8,11:50,,19,1026.85,3361.25,,
2019/3/8,12:00,,19.8,1026.47,3805.42,,
2019/3/8,12:10,,18.9,1026.54,3860.83,,
2019/3/8,12:20,,19.8,1026,4212.5,,
2019/3/8,12:30,,19.7,1025.83,4351.25,,
2019/3/8,12:40,,19.5,1025.61,4550,,
2019/3/8,12:50,,19.9,1025.47,4418.33,,
2019/3/8,13:00,,19.9,1025.4,4382.5,,
2019/3/8,13:10,,19.5,1025.19,3892.5,,
2019/3/8,13:20,,19.6,1024.78,4622.08,,
2019/3/8,13:30,,19.3,1024.77,4982.5,,
2019/3/8,13:40,,19.1,1024.58,4873.75,,
2019/3/8,13:50,,19,1024.56,4192.08,,
2019/3/8,14:00,,18.9,1024.18,3275.42,,
2019/3/8,14:10,,18.8,1024.26,2709.58,,
2019/3/8,14:20,,18.8,1024.09,2549.17,,
2019/3/8,14:30,,18.6,1023.72,2518.75,,
2019/3/8,14:40,,18.6,1023.54,2678.33,,
2019/3/8,14:50,,18.5,1023.55,2387.08,,
2019/3/8,15:00,,18.4,1023.46,3116.25,,
2019/3/8,15:10,,18.4,1023.43,2521.67,,
2019/3/8,15:20,,18.3,1023.44,2805,,
2019/3/8,15:30,,18.3,1023.29,3115,,
2019/3/8,15:40,,18.3,1023.51,4310.83,,
2019/3/8,15:50,,18.4,1023.39,3214.17,,
2019/3/8,16:00,,18.3,1023.32,2359.17,,
2019/3/8,16:10,,18.3,1023.24,2131.25,,
2019/3/8,16:20,,18.3,1022.96,2021.67,,
2019/3/8,16:30,,18.3,1022.89,2617.5,,
2019/3/8,16:40,,18.3,1022.85,2425,,
2019/3/8,16:50,,18.4,1022.76,1968.33,,
2019/3/8,17:00,,18.3,1022.94,1772.5,,
2019/3/8,17:10,,18.3,1022.87,960,,
2019/3/8,17:20,,18.2,1023.08,698.33,,
2019/3/8,17:30,,18.1,1023.03,567.08,,
2019/3/8,17:40,,18.1,1023.02,364.17,,
2019/3/8,17:50,,18,1023.13,171.67,,
2019/3/8,18:00,,17.9,1023,83.33,,
2019/3/8,18:10,,17.8,1023.08,52.5,,
2019/3/8,18:20,,17.7,1022.97,46.67,,
2019/3/8,18:30,,17.6,1022.98,45.83,,
2019/3/8,18:40,,17.6,1022.9,45.83,,
2019/3/8,18:50,,17.6,1022.99,45.83,,
2019/3/8,19:00,,17.5,1023.07,45.42,,
2019/3/8,19:10,,17.5,1023.09,45.42,,
2019/3/8,19:20,,17.4,1023.04,45.42,,
2019/3/8,19:30,,17.3,1023.27,45.42,,
2019/3/8,19:40,,17.2,1023.02,45.42,,
2019/3/8,19:50,,17.3,1023.18,45.83,,
2019/3/8,20:00,,17.2,1023.32,45.83,,
2019/3/8,20:10,,17.1,1023.24,45.83,,
2019/3/8,20:20,,17.1,1023.25,45.83,,
2019/3/8,20:30,,17.1,1023.11,45.83,,
2019/3/8,20:40,,17.1,1023.25,45.42,,
2019/3/8,20:50,,17.1,1023.33,45.83,,
2019/3/8,21:00,,17,1023.34,45.83,,
2019/3/8,21:10,,17,1023.24,45.83,,
2019/3/8,21:20,,17,1023.32,45.83,,
2019/3/8,21:30,,17,1023.4,45.83,,
2019/3/8,21:40,,16.9,1023.28,46.25,,
2019/3/8,21:50,,16.9,1023.32,45.83,,
2019/3/8,22:00,,16.9,1023.3,45.83,,
2019/3/8,22:10,,16.9,1022.94,45.83,,
2019/3/8,22:20,,16.9,1023,46.25,,
2019/3/8,22:30,,16.8,1022.99,0,,
2019/3/8,22:40,,16.7,1023.04,0,,
2019/3/8,22:50,,16.7,1022.99,0,,
2019/3/8,23:00,,16.6,1023,0,,
2019/3/8,23:10,,16.6,1023.07,0,,
2019/3/8,23:20,,16.6,1023.07,0,,
2019/3/8,23:30,,16.5,1023,0,,
2019/3/8,23:40,,16.5,1022.74,0,,
2019/3/8,23:50,,16.4,1022.68,0,,
2019/3/9,0:00,,16.4,1022.56,0,,
2019/3/9,0:10,,16.4,1022.56,0,,
