Date,Time,CPUTemp,Temp,Pres,Lum
2019/10/7,10:20,40.08,25.7,1021.82,156.67
2019/10/7,10:30,42.24,25.7,1021.81,140
2019/10/7,10:40,40.08,25.8,1021.72,130
2019/10/7,10:50,40.08,25.7,1021.64,145.42
2019/10/7,11:00,40.08,25.8,1021.49,166.25
2019/10/7,11:10,40.08,25.7,1021.45,125.83
2019/10/7,11:20,40.62,25.7,1021.39,108.75
2019/10/7,11:30,40.08,25.6,1021.34,122.08
2019/10/7,11:40,39.55,25.6,1021.34,139.17
2019/10/7,11:50,39.55,25.6,1021.25,157.5
2019/10/7,12:00,39.55,25.6,1021.12,69.17
2019/10/7,12:10,40.08,25.5,1021.07,62.5
2019/10/7,12:20,39.55,25.5,1020.98,85
2019/10/7,12:30,40.08,25.4,1021.04,78.33
2019/10/7,12:40,40.08,25.4,1020.96,64.58
2019/10/7,12:50,39.55,25.4,1020.81,49.58
2019/10/7,13:00,39.55,25.4,1020.83,45.42
2019/10/7,13:10,40.08,25.4,1020.83,42.5
2019/10/7,13:20,39.55,25.4,1020.75,44.58
2019/10/7,13:30,39.55,25.3,1020.81,53.33
2019/10/7,13:40,39.55,25.2,1020.6,53.33
2019/10/7,13:50,39.55,25.2,1020.71,43.33
2019/10/7,14:00,39.55,25.2,1020.68,43.75
2019/10/7,14:10,40.08,25.1,1020.69,39.17
2019/10/7,14:20,40.08,25.1,1020.75,37.5
2019/10/7,14:30,39.01,25,1020.6,32.92
2019/10/7,14:40,39.01,24.9,1020.74,41.67
2019/10/7,14:50,39.01,25.1,1020.58,50
2019/10/7,15:00,39.01,25.1,1020.52,61.67
2019/10/7,15:10,39.55,25.2,1020.62,107.08
2019/10/7,15:20,38.47,24.7,1020.67,106.67
2019/10/7,15:30,39.01,24.9,1020.84,73.75
2019/10/7,15:40,39.55,25,1020.72,75.83
2019/10/7,15:50,39.01,25.2,1020.75,82.08
2019/10/7,16:00,39.01,25.2,1020.88,57.08
2019/10/7,16:10,39.55,25.2,1020.83,47.92
