Date,Time,CPUTemp,Temp,Pres,Lum
2019/10/15,16:47,36.48,23.6,1028.41,161.67
2019/10/15,17:00,40.78,23.8,1028.24,105
2019/10/15,17:10,36.48,23.5,1028.3,71.25
2019/10/15,17:20,36.48,23.6,1028.34,50.42
2019/10/15,17:30,36.48,23.6,1028.31,40.83
2019/10/15,17:40,37.01,23.8,1028.36,39.58
2019/10/15,17:50,37.01,23.7,1028.35,39.17
2019/10/15,18:00,37.55,23.7,1028.44,39.17
2019/10/15,18:10,37.55,23.6,1028.41,39.17
2019/10/15,18:20,37.01,23.7,1028.49,39.58
2019/10/15,18:30,37.55,23.8,1028.45,39.58
2019/10/15,18:40,37.01,23.7,1028.63,39.17
2019/10/15,18:50,37.55,23.8,1028.82,38.75
2019/10/15,19:00,37.01,23.7,1029.01,39.17
2019/10/15,19:10,37.55,23.7,1028.99,39.17
2019/10/15,19:20,37.01,23.6,1029.03,39.17
2019/10/15,19:30,37.55,23.6,1029.03,39.58
2019/10/15,19:40,37.01,23.7,1029.13,39.58
2019/10/15,19:50,36.48,23.6,1029.29,39.58
2019/10/15,20:00,37.55,23.7,1029.2,39.17
2019/10/15,20:10,37.55,23.8,1029.39,39.17
2019/10/15,20:20,36.48,23.7,1029.37,39.58
2019/10/15,20:30,37.55,23.9,1029.61,39.17
2019/10/15,20:40,37.55,24,1029.68,38.75
2019/10/15,20:50,37.55,23.9,1029.56,39.58
2019/10/15,21:00,37.01,24,1029.74,39.58
2019/10/15,21:10,37.55,24,1029.96,38.75
2019/10/15,21:20,37.55,24.1,1029.86,39.17
2019/10/15,21:30,37.55,24,1029.89,39.17
2019/10/15,21:40,37.55,24.1,1029.91,39.17
2019/10/15,21:50,37.55,24.1,1029.94,39.17
2019/10/15,22:00,37.55,24.1,1029.94,39.58
2019/10/15,22:10,37.55,24,1029.89,39.17
2019/10/15,22:20,37.55,23.9,1029.85,38.75
2019/10/15,22:30,37.55,23.8,1029.83,39.17
2019/10/15,22:40,37.01,23.8,1029.67,38.75
2019/10/15,22:50,37.01,23.6,1029.51,0
2019/10/15,23:00,36.48,23.6,1029.4,0
2019/10/15,23:10,37.55,23.5,1029.37,0
2019/10/15,23:20,37.01,23.5,1029.37,0
2019/10/15,23:30,37.01,23.3,1029.27,0
2019/10/15,23:40,36.48,23,1029.22,0
2019/10/15,23:50,36.48,23.1,1029.11,0
2019/10/16,0:00,37.01,23.1,1029.16,0
2019/10/16,0:10,36.48,23,1029.15,0
2019/10/16,0:20,36.48,22.9,1029.08,0
2019/10/16,0:30,37.01,22.9,1028.98,0
2019/10/16,0:40,37.01,23,1028.77,0
2019/10/16,0:50,36.48,22.9,1028.55,0
2019/10/16,1:00,36.48,22.9,1028.44,0
2019/10/16,1:10,37.01,23,1028.19,0
2019/10/16,1:20,36.48,23,1028.23,0
2019/10/16,1:30,37.01,22.9,1028.04,0
2019/10/16,1:40,36.48,22.9,1028,0
2019/10/16,1:50,36.48,22.9,1027.88,0
2019/10/16,2:00,36.48,22.9,1027.74,0
2019/10/16,2:10,36.48,22.8,1027.61,0
2019/10/16,2:20,36.48,22.8,1027.52,0
2019/10/16,2:30,36.48,22.8,1027.47,0
2019/10/16,2:40,36.48,22.4,1027.67,0
2019/10/16,2:50,36.48,22.2,1027.6,0
